timestamp,heart_rate
2024-11-26T09:45:36,67
2024-11-26T09:45:37,67
2024-11-26T09:45:40,69
2024-11-26T09:45:43,71
2024-11-26T09:45:44,72
2024-11-26T09:45:45,74
2024-11-26T09:45:46,77
2024-11-26T09:45:47,81
2024-11-26T09:45:48,83
2024-11-26T09:45:49,84
2024-11-26T09:45:50,85
2024-11-26T09:45:51,86
2024-11-26T09:45:53,87
2024-11-26T09:45:59,89
2024-11-26T09:46:00,91
2024-11-26T09:46:01,92
2024-11-26T09:46:02,93
2024-11-26T09:46:03,92
2024-11-26T09:46:05,91
2024-11-26T09:46:08,93
2024-11-26T09:46:11,95
2024-11-26T09:46:12,98
2024-11-26T09:46:13,99
2024-11-26T09:46:18,98
2024-11-26T09:46:20,97
2024-11-26T09:46:21,98
2024-11-26T09:46:22,99
2024-11-26T09:46:23,100
2024-11-26T09:46:24,101
2024-11-26T09:46:25,100
2024-11-26T09:46:29,101
2024-11-26T09:46:30,100
2024-11-26T09:46:31,101
2024-11-26T09:46:32,100
2024-11-26T09:46:33,101
2024-11-26T09:46:34,100
2024-11-26T09:46:41,101
2024-11-26T09:46:42,102
2024-11-26T09:46:44,103
2024-11-26T09:46:45,104
2024-11-26T09:46:46,105
2024-11-26T09:46:47,106
2024-11-26T09:46:48,105
2024-11-26T09:46:49,104
2024-11-26T09:46:51,103
2024-11-26T09:46:54,102
2024-11-26T09:46:56,101
2024-11-26T09:46:59,102
2024-11-26T09:47:00,103
2024-11-26T09:47:01,102
2024-11-26T09:47:03,101
2024-11-26T09:47:04,100
2024-11-26T09:47:06,101
2024-11-26T09:47:08,100
2024-11-26T09:47:09,101
2024-11-26T09:47:11,102
2024-11-26T09:47:17,103
2024-11-26T09:47:19,104
2024-11-26T09:47:20,105
2024-11-26T09:47:21,107
2024-11-26T09:47:22,108
2024-11-26T09:47:23,109
2024-11-26T09:47:24,108
2024-11-26T09:47:28,107
2024-11-26T09:47:30,106
2024-11-26T09:47:31,105
2024-11-26T09:47:37,104
2024-11-26T09:47:38,105
2024-11-26T09:47:40,106
2024-11-26T09:47:44,107
2024-11-26T09:47:46,108
2024-11-26T09:47:53,109
2024-11-26T09:48:01,110
2024-11-26T09:48:04,111
2024-11-26T09:48:07,112
2024-11-26T09:48:10,113
2024-11-26T09:48:12,114
2024-11-26T09:48:13,112
2024-11-26T09:48:14,111
2024-11-26T09:48:16,110
2024-11-26T09:48:23,109
2024-11-26T09:48:26,110
2024-11-26T09:48:27,111
2024-11-26T09:48:36,112
2024-11-26T09:48:48,113
2024-11-26T09:48:49,112
2024-11-26T09:48:50,113
2024-11-26T09:48:55,112
2024-11-26T09:48:56,111
2024-11-26T09:48:59,112
2024-11-26T09:49:01,113
2024-11-26T09:49:03,115
2024-11-26T09:49:05,116
2024-11-26T09:49:06,117
2024-11-26T09:49:15,116
2024-11-26T09:49:16,117
2024-11-26T09:49:17,116
2024-11-26T09:49:26,115
2024-11-26T09:49:29,114
2024-11-26T09:49:33,113
2024-11-26T09:49:41,114
2024-11-26T09:49:43,115
2024-11-26T09:49:50,116
2024-11-26T09:49:55,115
2024-11-26T09:49:58,116
2024-11-26T09:50:07,117
2024-11-26T09:50:12,116
2024-11-26T09:50:15,115
2024-11-26T09:50:19,114
2024-11-26T09:50:21,113
2024-11-26T09:50:23,112
2024-11-26T09:50:25,111
2024-11-26T09:50:28,112
2024-11-26T09:50:30,113
2024-11-26T09:50:31,114
2024-11-26T09:50:32,115
2024-11-26T09:50:36,114
2024-11-26T09:50:45,115
2024-11-26T09:50:47,116
2024-11-26T09:50:49,117
2024-11-26T09:50:50,118
2024-11-26T09:50:52,118
2024-11-26T09:50:53,117
2024-11-26T09:50:56,119
2024-11-26T09:50:57,120
2024-11-26T09:50:59,121
2024-11-26T09:51:00,122
2024-11-26T09:51:01,123
2024-11-26T09:51:02,124
2024-11-26T09:51:08,125
2024-11-26T09:51:10,124
2024-11-26T09:51:15,123
2024-11-26T09:51:17,122
2024-11-26T09:51:18,121
2024-11-26T09:51:19,120
2024-11-26T09:51:27,121
2024-11-26T09:51:35,122
2024-11-26T09:51:36,121
2024-11-26T09:51:40,120
2024-11-26T09:51:41,119
2024-11-26T09:51:45,120
2024-11-26T09:51:47,121
2024-11-26T09:51:52,122
2024-11-26T09:51:53,123
2024-11-26T09:51:55,124
2024-11-26T09:52:01,123
2024-11-26T09:52:04,124
2024-11-26T09:52:06,125
2024-11-26T09:52:10,124
2024-11-26T09:52:12,121
2024-11-26T09:52:13,119
2024-11-26T09:52:15,120
2024-11-26T09:52:16,121
2024-11-26T09:52:17,122
2024-11-26T09:52:18,123
2024-11-26T09:52:19,125
2024-11-26T09:52:21,126
2024-11-26T09:52:26,125
2024-11-26T09:52:47,126
2024-11-26T09:52:48,127
2024-11-26T09:52:49,128
2024-11-26T09:52:50,129
2024-11-26T09:52:52,130
2024-11-26T09:52:55,131
2024-11-26T09:53:00,130
2024-11-26T09:53:11,131
2024-11-26T09:53:13,132
2024-11-26T09:53:16,133
2024-11-26T09:53:28,132
2024-11-26T09:53:33,133
2024-11-26T09:53:41,134
2024-11-26T09:53:44,135
2024-11-26T09:53:45,134
2024-11-26T09:53:46,135
2024-11-26T09:53:49,136
2024-11-26T09:53:50,137
2024-11-26T09:53:52,139
2024-11-26T09:53:53,141
2024-11-26T09:53:54,143
2024-11-26T09:53:55,144
2024-11-26T09:53:57,145
2024-11-26T09:53:58,146
2024-11-26T09:53:59,148
2024-11-26T09:54:00,149
2024-11-26T09:54:01,150
2024-11-26T09:54:02,151
2024-11-26T09:54:03,152
2024-11-26T09:54:04,153
2024-11-26T09:54:06,154
2024-11-26T09:54:08,155
2024-11-26T09:54:10,156
2024-11-26T09:54:12,157
2024-11-26T09:54:15,158
2024-11-26T09:54:18,159
2024-11-26T09:54:20,160
2024-11-26T09:54:24,161
2024-11-26T09:54:26,162
2024-11-26T09:54:32,163
2024-11-26T09:54:47,164
2024-11-26T09:54:51,163
2024-11-26T09:54:52,164
2024-11-26T09:54:55,163
2024-11-26T09:54:56,162
2024-11-26T09:55:01,161
2024-11-26T09:55:02,159
2024-11-26T09:55:03,158
2024-11-26T09:55:09,157
2024-11-26T09:55:11,156
2024-11-26T09:55:17,155
2024-11-26T09:55:18,153
2024-11-26T09:55:19,152
2024-11-26T09:55:21,151
2024-11-26T09:55:23,150
2024-11-26T09:55:26,149
2024-11-26T09:55:30,148
2024-11-26T09:55:32,146
2024-11-26T09:55:33,145
2024-11-26T09:55:37,142
2024-11-26T09:55:38,144
2024-11-26T09:55:39,145
2024-11-26T09:55:42,144
2024-11-26T09:55:43,143
2024-11-26T09:55:44,144
